MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
8,8,4,5,2,5,3,54.59815003,9,3,6,4,4,7,3,1,0,5,7,13,0.399694867
7,9,2,6,4,7,2,20.08553692,7,2,9,7,3,4,2,4,4,4,8,5,0.313545682
5,6,7,8,8,4,10,8103.083928,5,7,5,4,5,7,7,2,3,2,4,4,0.390889698
4,2,3,10,8,6,3,148.4131591,4,8,7,3,3,0,3,3,5,5,7,6,0.371446109
7,3,9,5,4,6,6,8103.083928,4,7,4,7,6,4,8,6,5,6,10,2,0.418979301
7,7,5,4,3,4,8,403.4287935,4,0,7,8,6,4,7,7,2,5,4,0,0.363275465
7,3,8,5,4,5,4,54.59815003,2,10,6,,3,6,6,3,6,3,4,6,0.359933416
3,8,5,4,3,4,6,7.389056099,6,5,3,5,10,5,7,4,5,4,5,5,0.430729878
,8,4,6,8,6,6,2980.957987,6,2,6,3,6,3,6,2,10,2,4,3,0.430797345
3,2,3,4,3,5,6,1096.633158,5,2,6,5,6,4,6,4,4,3,1,2,0.304999628
5,10,4,2,1,6,6,54.59815003,5,3,5,5,9,3,2,4,2,3,4,4,0.367979107
4,6,2,4,5,4,6,1096.633158,10,4,7,5,3,6,2,2,6,5,6,8,0.322534064
4,8,6,3,7,3,5,148.4131591,7,3,3,9,6,6,5,6,6,2,8,1,0.33831887
8,4,5,7,5,7,4,1096.633158,6,8,4,4,2,2,3,9,5,4,5,7,0.393259648
,4,7,7,4,7,2,20.08553692,7,4,6,8,8,3,5,6,2,3,7,4,0.318100303
10,5,4,6,4,7,1,148.4131591,6,5,3,4,4,1,4,5,1,5,6,2,0.301577869
7,4,4,6,7,9,8,54.59815003,7,5,8,5,3,7,5,4,7,9,4,5,0.40179731
7,5,4,1,3,8,4,20.08553692,6,7,3,4,6,4,3,4,6,3,6,6,0.3897882
0,1,5,2,0,2,3,20.08553692,6,2,7,11,5,5,7,7,3,7,7,5,0.426373
7,4,8,6,8,1,5,148.4131591,6,4,1,5,5,6,3,2,9,3,1,5,0.375923417
2,5,2,9,5,5,8,148.4131591,8,4,4,1,7,5,6,5,1,6,6,2,0.432346297
3,3,5,9,8,7,4,7.389056099,1,4,7,8,7,6,2,7,6,8,2,5,0.385303871
2,8,10,4,6,6,5,20.08553692,5,1,5,4,2,3,8,1,8,5,5,1,0.354201051
6,4,4,2,4,3,3,20.08553692,3,6,6,9,6,8,4,4,7,3,1,6,0.385184919
6,5,7,4,5,4,5,403.4287935,7,8,9,5,2,6,7,7,6,5,2,5,0.404885238
52,6,8,3,2,5,4,54.59815003,7,2,8,4,5,1,8,4,4,5,7,4,0.348655761
55,5,3,5,3,4,3,2980.957987,7,7,7,3,8,6,6,7,1,7,7,8,0.352153491
56,9,5,9,9,9,4,1096.633158,5,7,3,6,6,4,6,6,6,4,3,4,0.388191221
,5,7,1,3,5,3,20.08553692,2,2,3,2,5,2,4,4,4,3,5,11,0.363782874
56,3,6,4,5,5,3,403.4287935,8,3,3,6,5,3,4,12,6,4,7,6,0.373776249
55,11,4,5,7,2,3,2980.957987,5,2,6,8,6,3,4,3,8,7,3,3,0.437491429
50,3,3,3,3,4,6,148.4131591,5,10,6,5,5,5,1,4,1,6,2,1,0.306128491
58,1,6,3,5,4,4,148.4131591,2,1,2,5,5,5,5,3,4,4,4,4,0.390706052
57,8,6,3,6,10,7,2980.957987,3,6,6,5,2,2,7,7,6,7,1,5,0.429203965
55,3,1,4,5,5,6,403.4287935,4,5,2,3,9,6,3,2,5,3,4,6,0.333069597
53,4,4,7,5,3,4,20.08553692,4,4,7,7,6,8,5,12,6,1,4,6,0.329683863
57,6,3,9,5,3,6,20.08553692,4,6,4,6,6,6,2,4,4,3,4,12,0.350819729
55,7,2,1,2,2,3,1096.633158,6,2,5,,5,6,5,4,3,10,5,4,0.310370995
57,7,9,4,4,4,9,7.389056099,3,3,4,2,7,2,7,4,5,3,3,2,0.378439871
56,7,7,3,4,4,8,2980.957987,4,7,10,4,7,3,2,8,4,4,2,4,0.390364243
57,6,2,5,5,3,7,403.4287935,5,3,8,9,4,5,6,4,4,6,8,11,0.414784153
53,10,6,6,3,4,7,54.59815003,5,3,7,2,5,6,6,8,5,4,5,7,0.309264654
56,5,7,7,5,5,6,7.389056099,4,3,3,,7,9,1,10,3,5,2,4,0.361065897
54,2,4,7,5,4,5,20.08553692,4,4,10,4,3,7,4,6,6,3,7,3,0.409788957
57,4,7,2,3,2,5,54.59815003,6,3,3,7,9,5,5,5,3,6,5,6,0.407562261
52,5,3,9,8,3,7,54.59815003,8,3,8,5,10,4,3,1,6,4,3,5,0.310309678
54,5,1,2,2,4,3,2.718281828,3,4,7,6,3,1,3,2,4,10,7,6,0.301595383
58,0,2,4,2,3,3,148.4131591,3,4,4,4,8,5,5,4,1,6,10,5,0.409665884
54,6,5,6,4,3,5,1096.633158,9,2,4,7,4,5,1,2,4,2,3,5,0.319316869
61,8,6,6,7,3,4,22026.46579,3,6,7,7,7,4,1,4,5,9,2,6,0.380890539
8,6,9,8,6,2,8,1,4,5,7,2,0,5,4,6,6,4,1,1,0.313194464
7,3,4,9,3,7,8,54.59815003,9,4,9,,3,3,6,4,3,5,7,6,0.341371559
4,9,4,3,8,7,12,2980.957987,1,6,6,4,6,7,8,5,8,7,4,4,0.322125219
7,7,4,6,4,8,5,54.59815003,4,6,12,3,6,4,2,8,4,7,4,4,0.403095212
8,4,5,10,8,5,5,1096.633158,3,9,6,3,4,4,1,4,7,6,5,4,0.394181418
9,3,4,5,7,5,5,403.4287935,4,2,2,3,5,6,1,1,8,6,5,6,0.318942767
3,4,6,7,7,7,5,1096.633158,4,7,7,3,7,6,6,8,5,4,3,7,0.308306248
5,5,10,3,3,3,2,20.08553692,6,3,5,3,4,9,3,9,7,6,3,3,0.365286935
5,3,4,2,2,5,2,403.4287935,4,5,4,4,5,5,2,5,4,7,3,6,0.327376713
3,4,4,3,6,7,7,148.4131591,3,8,5,3,3,5,5,3,8,3,6,5,0.301139885
3,4,4,7,7,4,2,1096.633158,0,8,10,4,4,7,2,2,7,7,7,7,0.336998184
8,5,7,8,4,9,1,403.4287935,8,5,6,9,3,7,7,4,2,4,4,5,0.330134115
3,6,6,4,4,2,5,54.59815003,3,7,4,2,8,7,3,8,3,4,5,2,0.395894295
4,5,6,7,2,6,3,54.59815003,7,8,5,4,7,7,7,8,1,0,6,3,0.420520831
,4,4,3,6,6,6,148.4131591,4,3,9,,7,4,4,3,7,2,9,5,0.333269448
2,5,5,6,3,5,4,1096.633158,6,6,5,5,8,4,5,8,4,2,8,4,0.331226687
4,3,2,6,5,4,8,7.389056099,12,8,5,4,5,2,5,5,4,4,6,2,0.354287287
,7,3,5,2,10,6,54.59815003,7,2,7,6,2,4,4,10,3,6,8,6,0.324158069
12,4,4,4,8,2,2,148.4131591,5,3,5,5,11,11,5,1,8,4,6,5,0.432554106
4,2,8,6,5,5,5,20.08553692,4,3,6,8,1,3,5,6,3,5,7,3,0.334093716
5,2,4,6,7,5,6,7.389056099,5,1,2,3,2,3,5,4,6,4,6,7,0.313066076
4,7,5,8,8,6,5,148.4131591,9,3,6,3,8,9,6,4,8,2,4,6,0.377964431
1,4,5,4,3,4,10,403.4287935,4,1,2,1,7,3,5,4,2,5,11,7,0.375266736
10,9,4,8,5,3,8,148.4131591,1,1,6,6,6,3,5,4,5,7,8,5,0.388467984
4,6,4,4,3,3,5,2980.957987,4,2,6,3,3,4,0,6,3,8,9,2,0.435338359
5,7,10,9,6,3,7,403.4287935,5,7,3,7,5,7,8,6,4,14,3,3,0.345288206
5,8,4,5,6,8,5,1096.633158,3,7,8,10,5,8,3,5,4,5,3,2,0.350339993
5,7,5,2,5,5,3,403.4287935,4,3,8,7,3,9,6,2,6,4,6,9,0.347185662
3,2,5,4,8,5,9,403.4287935,4,7,3,3,12,8,6,5,7,5,8,0,0.388008152
3,4,6,3,6,4,6,54.59815003,7,3,7,4,10,8,5,6,6,4,6,4,0.384569665
3,4,4,5,6,6,3,1096.633158,8,2,7,8,5,3,5,6,8,7,7,2,0.374032989
4,6,7,8,5,5,6,403.4287935,2,4,5,,7,8,6,8,3,5,7,1,0.351005634
3,10,4,3,4,6,3,403.4287935,7,6,7,7,4,7,3,7,2,1,8,6,0.359870951
8,5,5,3,4,5,5,2980.957987,4,5,3,4,1,2,7,9,4,5,7,4,0.410951008
,4,4,4,4,5,2,54.59815003,6,5,10,2,4,7,5,5,3,4,5,5,0.385294542
2,9,3,5,3,10,6,1096.633158,5,6,7,5,5,5,11,6,2,6,4,5,0.4002831
8,7,4,5,9,3,3,148.4131591,2,2,7,13,2,5,4,5,11,3,5,4,0.338742161
6,5,4,5,3,8,6,1,3,4,2,3,5,3,3,6,4,5,1,4,0.427608893
1,5,4,6,7,4,3,20.08553692,4,3,3,5,5,7,7,1,7,6,4,8,0.304922781
6,2,8,3,5,7,3,1096.633158,3,8,3,3,2,4,4,4,6,3,3,8,0.383397564
3,8,9,5,3,5,7,54.59815003,6,6,7,3,4,7,5,6,5,3,4,5,0.413729007
6,6,6,6,6,4,7,8103.083928,5,5,5,5,5,10,7,8,5,3,3,6,0.421279967
6,5,9,4,5,5,5,54.59815003,4,5,4,3,4,4,3,7,9,5,8,9,0.344737242
2,5,6,5,4,5,7,1096.633158,8,7,6,7,6,5,8,4,6,3,7,6,0.364365121
4,8,4,6,4,3,6,2980.957987,5,1,5,9,4,7,9,7,4,6,5,3,0.304884482
4,5,6,2,5,4,3,54.59815003,5,10,2,5,2,7,1,5,7,4,6,4,0.410567158
3,3,6,4,1,8,6,54.59815003,2,3,8,3,5,5,5,4,0,9,3,1,0.317440078
4,6,5,9,5,1,3,2980.957987,4,5,8,4,6,6,6,4,2,4,3,8,0.3599314
6,3,6,2,5,4,3,403.4287935,1,6,8,3,7,3,5,4,7,4,7,10,0.438713261
6,7,4,2,0,5,6,20.08553692,4,4,5,10,5,2,5,2,1,2,5,1,0.428483214
9,5,5,5,6,7,5,2.718281828,4,7,8,9,6,3,3,3,6,7,4,2,0.346203299
5,7,4,7,6,6,5,22026.46579,4,5,7,2,8,4,6,7,4,2,5,5,0.331343284
11,3,5,8,7,4,4,403.4287935,3,11,4,5,4,5,3,9,6,8,9,8,0.335236947
7,5,3,8,5,3,10,54.59815003,5,8,4,7,9,3,6,7,3,3,2,4,0.395869992
4,10,4,7,7,3,6,148.4131591,5,2,2,5,5,5,4,5,9,3,5,7,0.401611619
5,7,11,8,7,2,6,20.08553692,5,5,9,12,4,8,2,2,7,3,5,1,0.330309031
0,6,5,3,7,6,5,54.59815003,4,2,7,2,4,2,4,2,8,4,1,8,0.333598594
6,3,3,7,4,7,4,403.4287935,5,7,5,5,1,5,5,6,3,8,4,5,0.345274472
4,8,7,3,5,5,7,148.4131591,7,8,2,,7,8,6,3,5,5,6,8,0.360644917
10,5,8,5,6,6,4,1096.633158,4,2,5,4,4,6,5,3,6,7,7,7,0.428445924
6,4,6,4,5,3,8,148.4131591,4,7,8,5,9,4,4,8,6,3,6,6,0.303711098
2,3,2,4,5,9,10,148.4131591,6,5,5,6,6,1,7,4,4,5,5,3,0.389347634
5,1,7,7,6,5,3,20.08553692,5,7,5,1,4,6,2,6,5,7,7,7,0.420637664
4,4,11,4,5,8,7,2.718281828,16,6,1,9,6,5,7,12,5,3,2,4,0.401270904
4,6,5,5,7,6,5,2980.957987,4,2,5,4,12,1,3,7,6,3,8,4,0.330343897
7,7,9,4,4,7,4,1096.633158,2,7,8,5,3,4,9,6,4,8,3,8,0.366744532
3,3,7,5,5,4,8,148.4131591,5,8,5,3,3,5,5,8,7,10,8,0,0.427439281
6,7,8,7,7,2,6,148.4131591,8,3,10,6,5,7,0,4,6,8,2,4,0.316200445
5,0,6,4,4,3,8,20.08553692,8,6,5,6,8,6,11,3,2,2,3,4,0.438251566
5,1,3,4,4,3,6,20.08553692,2,6,4,4,7,3,6,4,5,4,7,6,0.320107315
4,2,5,7,11,3,3,54.59815003,2,7,5,4,3,2,4,3,11,4,6,2,0.319938456
4,3,7,4,3,4,10,148.4131591,5,5,2,6,5,5,3,3,2,1,2,6,0.413800304
9,8,5,6,4,2,6,148.4131591,3,4,4,8,5,3,7,6,5,3,0,8,0.415968513
4,3,9,1,4,8,1,20.08553692,8,7,9,3,8,5,4,5,7,6,5,2,0.305308612
5,12,6,7,7,4,3,1096.633158,6,5,3,6,10,4,2,11,6,4,4,3,0.323562757
6,8,7,3,4,4,4,403.4287935,6,7,4,2,7,4,7,8,7,0,11,9,0.432793872
4,1,3,4,4,2,3,403.4287935,3,3,6,1,3,4,8,2,4,7,10,3,0.339108337
7,1,12,2,4,4,6,54.59815003,4,1,6,2,6,1,7,7,6,3,7,2,0.301713553
3,4,3,3,4,5,6,1096.633158,2,5,6,8,6,3,6,4,4,5,3,1,0.335565894
,10,8,4,2,5,5,403.4287935,5,2,3,6,1,4,10,5,4,7,7,1,0.402960559
6,4,5,6,7,5,5,1096.633158,0,10,6,5,3,8,9,3,5,4,8,7,0.428303473
4,4,4,4,3,7,3,20.08553692,6,4,8,2,4,1,4,2,4,7,2,4,0.321721922
5,4,6,4,5,4,6,148.4131591,2,7,6,4,3,4,6,6,7,5,2,12,0.331417935
3,6,5,4,4,5,6,403.4287935,4,9,6,2,3,6,7,4,5,5,10,3,0.361814383
10,1,3,6,4,1,5,7.389056099,1,3,5,5,6,1,4,5,4,4,5,2,0.404762329
3,5,6,3,4,5,2,20.08553692,3,8,5,4,7,9,6,6,5,8,3,4,0.392217583
5,6,4,5,4,3,8,54.59815003,1,9,3,4,6,1,4,4,4,6,3,5,0.345854701
3,5,2,6,10,6,3,54.59815003,3,5,8,6,9,6,2,1,10,6,3,10,0.309289255
3,3,8,3,4,4,6,403.4287935,3,6,3,5,3,3,5,3,2,6,7,4,0.335414491
4,7,2,6,6,9,4,20.08553692,10,10,4,4,5,7,4,6,9,9,4,3,0.330738875
,1,6,6,7,6,4,148.4131591,7,7,3,4,6,6,5,3,5,3,6,3,0.302947527
5,9,5,5,5,5,5,2980.957987,3,7,4,8,6,3,4,2,6,8,6,4,0.436505597
5,10,3,11,10,4,6,54.59815003,6,4,4,6,8,7,2,6,6,5,3,8,0.335752014
8,4,11,4,6,2,11,2980.957987,4,3,6,3,5,5,3,8,6,5,5,0,0.417114907
7,5,1,7,8,6,10,403.4287935,10,5,3,5,4,4,6,4,6,6,5,5,0.367880625
2,2,2,2,5,1,5,148.4131591,5,5,4,6,3,4,6,6,8,4,3,2,0.436120706
8,6,12,4,4,4,4,8103.083928,3,8,7,2,3,4,4,6,4,8,7,1,0.320937437
6,6,10,3,4,3,4,7.389056099,1,3,5,7,4,9,6,3,5,8,2,3,0.315494243
3,5,8,8,9,7,7,1096.633158,5,5,6,3,1,4,7,6,5,3,6,5,0.300344809
4,6,4,7,5,8,3,7.389056099,6,5,0,3,10,8,2,4,4,4,8,5,0.400582592
7,4,9,5,5,4,4,8103.083928,2,4,4,3,5,4,2,5,5,4,1,5,0.342892678
8,2,6,5,7,7,5,54.59815003,10,9,5,4,10,1,4,4,8,4,9,6,0.421849693
,10,7,7,7,3,3,403.4287935,8,3,7,6,6,7,4,6,7,6,4,7,0.388732679
5,8,4,8,7,2,5,403.4287935,5,7,2,6,7,5,3,5,8,7,5,7,0.380840464
3,3,4,4,5,2,6,1096.633158,6,1,4,4,3,6,5,4,7,5,3,4,0.368164815
3,6,1,4,4,6,6,54.59815003,11,8,12,8,7,9,4,3,5,3,4,3,0.33614431
5,7,4,5,5,5,4,20.08553692,2,7,7,8,5,7,9,3,6,3,4,3,0.309056394
2,3,3,2,4,9,5,403.4287935,6,6,2,,6,3,7,4,5,4,6,8,0.362099517
4,5,4,7,6,2,3,54.59815003,9,3,7,7,9,5,5,3,4,11,4,6,0.313876751
5,6,6,2,3,9,9,148.4131591,4,4,6,2,4,3,5,5,6,4,6,5,0.426802358
7,5,5,2,4,2,6,2980.957987,3,1,1,3,9,3,1,3,6,3,7,9,0.416106077
6,7,10,6,7,4,3,148.4131591,5,2,3,3,4,5,13,5,8,6,5,6,0.386766581
7,5,6,4,4,4,6,54.59815003,5,5,5,2,1,3,7,5,5,5,6,9,0.363341557
5,7,4,5,6,2,5,403.4287935,6,1,6,3,4,4,5,5,6,7,2,4,0.363587356
4,6,8,3,3,4,5,7.389056099,8,2,4,4,5,8,10,4,5,5,11,5,0.365032111
